iter	Passed	Remaining
0	0	55
1	1	51
2	1	49
3	1	45
4	2	45
5	2	45
6	3	44
7	3	44
8	4	44
9	4	43
10	5	42
11	5	42
12	6	42
13	6	41
14	7	41
15	7	40
16	8	40
17	8	39
18	9	38
19	9	38
20	10	37
21	10	37
22	10	36
23	11	35
24	11	34
25	12	34
26	12	33
27	13	33
28	13	33
29	13	32
30	14	32
31	14	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	28
38	17	27
39	18	27
40	18	26
41	18	25
42	18	25
43	19	24
44	19	24
45	20	23
46	20	23
47	20	22
48	21	22
49	21	21
50	22	21
51	22	20
52	23	20
53	23	20
54	23	19
55	24	19
56	24	18
57	25	18
58	25	17
59	26	17
60	26	17
61	27	16
62	27	16
63	27	15
64	28	15
65	28	14
66	29	14
67	29	13
68	29	13
69	30	12
70	30	12
71	30	11
72	31	11
73	31	11
74	32	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	35	7
82	35	7
83	36	6
84	36	6
85	36	6
86	37	5
87	37	5
88	38	4
89	38	4
90	39	3
91	39	3
92	39	2
93	40	2
94	40	2
95	40	1
96	41	1
97	41	0
98	41	0
99	42	0
